president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Joe Biden,All polls,3/23/2022,1/19/2021,1/21/2021,Morning Consult,B,15000,a,.25936103,0,50,28,49.069948,31.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74272,139491,1/28/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/19/2021,1/21/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.33818752,0,48,45,50.040379,39.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74247,139395,1/22/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/20/2021,1/21/2021,YouGov,B+,1516,a,1.2454012,0,45,28,46.263649,28.659628,"","",https://docs.cdn.yougov.com/u3h9dresbn/20210120_yahoo_coronavirus_toplines.pdf,74327,139570,2/2/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/20/2021,1/22/2021,Morning Consult,B,15000,a,.23326085,0,51,28,50.069948,31.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74273,139492,1/28/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/20/2021,1/21/2021,Morning Consult,B,1993,rv,.09297777,0,56,31,55.069948,34.211739,"","",https://assets.morningconsult.com/wp-uploads/2021/01/21155806/210166_crosstabs_MC_WASHINGTON_RVs_v2.pdf,74246,139394,1/22/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/20/2021,1/21/2021,Ipsos,B-,1115,a,1.1013975,0,55.47,31.59,54.068193,32.800738,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-01/2021_reuters_tracking_-_core_political_presidential_approval_tracker_01_22_2021.pdf,74248,139404,1/22/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/21/2021,1/22/2021,HarrisX,B+,941,rv,1.041367,0,63,37,59.411615,38.302973,"","",https://thehill.com/hilltv/what-americas-thinking/535742-poll-president-bidens-first-approval-of-his-term-at-63-percent,74256,139422,1/25/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/21/2021,1/23/2021,RMG Research,B-,1200,rv,.8806739,0,58,32,57.340437,32.876185,"","",https://justthenews.com/politics-policy/polling/poll-nearly-third-voters-disapprove-bidens-job-performance-so-far,74270,139489,1/28/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/21/2021,1/23/2021,Morning Consult,B,15000,a,.21460409,0,52,29,51.069948,32.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74274,139493,1/28/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/20/2021,1/24/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.1776436,0,48,47,50.040379,41.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74249,139406,1/25/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/22/2021,1/24/2021,Morning Consult,B,15000,a,.19996795,0,53,29,52.069948,32.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74257,139494,1/28/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/21/2021,1/25/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.50167279,0,48,47,50.040379,41.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74259,139428,1/26/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/20/2021,1/26/2021,Echelon Insights,B/C,1006,rv,1.1879702,0,55,33,53.71889,32.794145,"","",https://echeloninsights.com/in-the-news/january-omnibus-biden-administration/,74329,139616,2/3/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/21/2021,1/24/2021,Monmouth University,A,809,a,1.5307823,0,54,30,55.008056,30.196888,"","",https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_012721.pdf/,74263,139456,1/27/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/22/2021,1/25/2021,Morning Consult,B,2200,a,.08282522,0,56,32,55.069948,35.211739,"","",https://assets.morningconsult.com/wp-uploads/2021/02/12185419/210184_crosstabs_MC_ENERGY_Adults_v1-1.pdf,74376,139763,2/15/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/22/2021,1/25/2021,Morning Consult,B,1990,rv,.07491918,0,59,32,58.069948,35.211739,"","",https://assets.morningconsult.com/wp-uploads/2021/01/27081057/210182_crosstabs_POLITICO_RVs_v1_AUTO.pdf,74264,139461,1/27/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/22/2021,1/25/2021,Data for Progress,B,1164,lv,1.4552095,0,57,36,55.865031,35.512328,"","",https://www.dataforprogress.org/blog/2021/1/28/fifty-seven-percent-of-voters-approve-of-biden-in-his-first-week-as-president,74271,139490,1/28/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/23/2021,1/25/2021,Morning Consult,B,15000,a,.18823914,0,53,30,52.069948,33.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74275,139495,1/28/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/24/2021,1/26/2021,YouGov,B+,1500,a,1.077634,0,51,33,52.263649,33.659628,"","",https://docs.cdn.yougov.com/ld46rgtdlz/econTabReport.pdf,74262,139434,1/27/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/24/2021,1/26/2021,Morning Consult,B,15000,a,.18001159,0,53,30,52.069948,33.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74276,139496,1/28/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/24/2021,1/26/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.25591397,0,48,48,50.040379,42.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74261,139433,1/27/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/25/2021,1/27/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.24753628,0,49,48,51.040379,42.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74268,139483,1/28/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/24/2021,1/27/2021,Marist College,A,1313,a,2.1893262,0,49,35,49.876268,34.919084,"","",http://maristpoll.marist.edu/wp-content/uploads/2021/02/Marist-Poll_USA-NOS-and-Tables_202101281213-1.pdf#page=3,74320,139558,2/1/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/25/2021,1/26/2021,Morning Consult,B,2200,a,.07622406,0,58,32,57.069948,35.211739,"","",https://assets.morningconsult.com/wp-uploads/2021/02/04174538/210179_crosstabs_MC_SPORTS_PRESUPER_BOWL_Adults_v3.pdf,74346,139653,2/5/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/25/2021,1/27/2021,Morning Consult,B,15000,a,.17323649,0,54,31,53.069948,34.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74277,139497,1/28/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/21/2021,2/2/2021,Gallup,B+,906,a,1.3147066,0,57,37,56.988818,36.05786,"","",https://news.gallup.com/poll/329348/biden-begins-term-job-approval.aspx,74344,139651,2/4/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/26/2021,1/28/2021,Morning Consult,B,9211.5,a,.10327276,0,55,31.5,54.069948,34.711739,*,T,https://int.nyt.com/data/documenttools/ben-smith-poll/967c3e3a09403867/full.pdf,74292,139518,2/1/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/26/2021,1/28/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.240225,0,50,45,52.040379,39.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74290,139515,1/29/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/27/2021,1/28/2021,Morning Consult,B,2200,a,.07197111,0,56,33,55.069948,36.211739,"","",https://assets.morningconsult.com/wp-uploads/2021/02/12185159/210193_crosstabs_MC_ENERGY_Adults_v2.pdf,74378,139765,2/15/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/27/2021,1/29/2021,Morning Consult,B,15000,a,.1635707,0,54,32,53.069948,35.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74339,139644,2/4/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/27/2021,1/29/2021,TIPP Insights,A+,1261,a,2.3554725,0,53,29,53.690134,33.459499,"","",https://www.investors.com/politics/joe-biden-job-approval-enjoys-honeymoon-vs-donald-trump-ibd-tipp-poll/,74321,139560,2/1/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/28/2021,1/30/2021,Morning Consult,B,6466.666667,a,.06918632,0,55.333333,33,54.403282,36.211739,*,T,https://assets.morningconsult.com/wp-uploads/2021/02/01222231/2101102_crosstabs_MC_TECH_QANON_Adults_v1.pdf,74323,139563,2/2/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/29/2021,1/29/2021,John Zogby Strategies/EMI Research Solutions,B/C,841,lv,1.1150749,0,56.1,36.4,54.591562,36.893804,"","",https://johnzogbystrategies.com/wp-content/uploads/2021/02/Crosstabs-Voters-012921.pdf,74326,139569,2/2/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/28/2021,1/30/2021,RMG Research,B-,1200,rv,.73682805,0,58,35,57.340437,35.876185,"","",https://scottrasmussen.com/biden-job-approval-60/,74355,139680,2/9/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/28/2021,1/29/2021,HarrisX,B+,945,rv,.90482334,0,61,39,57.411615,40.302973,"","",https://thehill.com/hilltv/what-americas-thinking/536809-poll-biden-approval-dips-to-61-percent,74322,139562,2/1/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/27/2021,1/31/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.13780096,0,49,46,51.040379,40.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74293,139520,2/1/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/28/2021,2/1/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.40436588,0,51,45,53.040379,39.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74325,139568,2/2/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/28/2021,2/1/2021,Quinnipiac University,A-,1075,a,1.5324899,0,49,36,52.427513,35.622197,"","",https://poll.qu.edu/poll-release?releaseid=3766,74334,139617,2/3/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/28/2021,2/1/2021,AP-NORC,"",1055,a,1.4270642,0,61,38,57.842529,38.065047,"","",https://apnorc.org/wp-content/uploads/2021/02/Biden-topline.pdf,74336,139629,2/4/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/27/2021,2/1/2021,Navigator Research,B/C,1005,rv,.91595682,0,53,39,52.155484,38.280715,"","",https://navigatorresearch.org/wp-content/uploads/2021/02/Navigator-Topline-02.02.21.pdf,74324,139564,2/2/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/29/2021,1/31/2021,Morning Consult,B,15000,a,.15744273,0,54,33,53.069948,36.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74340,139646,2/4/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/29/2021,2/1/2021,Morning Consult,B,2200,a,.06828319,0,57,33,56.069948,36.211739,"","",https://assets.morningconsult.com/wp-uploads/2021/02/03174029/2101105_crosstabs_MC_FINANCE_Adults_v1.pdf,74375,139762,2/15/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/29/2021,2/1/2021,Morning Consult,B,1986,rv,.06164109,0,58,35,57.069948,38.211739,"","",https://assets.morningconsult.com/wp-uploads/2021/02/03074817/2101110_crosstabs_POLITICO_RVs_v1.pdf,74330,139576,2/3/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/30/2021,2/1/2021,Morning Consult,B,15000,a,.15518906,0,54,33,53.069948,36.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74331,139647,2/4/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/31/2021,2/2/2021,Morning Consult,B,15000,a,.1543049,0,54,33,53.069948,36.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74341,139648,2/4/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/31/2021,2/2/2021,YouGov,B+,1500,a,.9211317,0,46,38,47.263649,38.659628,"","",https://docs.cdn.yougov.com/460mactkmh/econTabReport.pdf,74332,139593,2/3/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,1/31/2021,2/2/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.21940877,0,51,47,53.040379,41.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74333,139595,2/3/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/1/2021,2/3/2021,Morning Consult,B,15000,a,.15340626,0,54,33,53.069948,36.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74366,139733,2/11/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/1/2021,2/3/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.21793511,0,52,46,54.040379,40.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74338,139642,2/4/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/2/2021,2/4/2021,Morning Consult,B,15000,a,.1526987,0,54,34,53.069948,37.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74367,139734,2/11/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/2/2021,2/4/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.21648187,0,49,48,51.040379,42.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74347,139654,2/5/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/2/2021,2/3/2021,Ipsos,B-,1005,a,.80586255,0,57.46,34.28,56.058193,35.490738,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-02/2021_reuters_tracking_-_core_political_presidential_approval_tracker_02_04_2021_0.pdf,74345,139652,2/4/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/2/2021,2/3/2021,Emerson College,A-,1429,a,2.0759934,0,49,39,49.527336,39.870831,"","",https://emersonpolling.reportablenews.com/pr/february-national-poll-america-giving-biden-a-chance-split-on-trump-impeachment,74348,139668,2/5/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/3/2021,2/5/2021,Morning Consult,B,15000,a,.15151806,0,54,34,53.069948,37.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74368,139735,2/11/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/4/2021,2/6/2021,RMG Research,B-,1200,rv,.69621914,0,60,32,59.340437,32.876185,"","",https://scottrasmussen.com/biden-job-approval-60/,74354,139679,2/9/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/3/2021,2/7/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.1281564,0,50,47,52.040379,41.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74349,139669,2/8/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/4/2021,2/6/2021,Morning Consult,B,15000,a,.1497462,0,54,34,53.069948,37.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74369,139736,2/11/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/4/2021,2/8/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.38029845,0,51,46,53.040379,40.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74352,139675,2/9/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/5/2021,2/7/2021,Morning Consult,B,1986,rv,.05883561,0,59,35,58.069948,38.211739,"","",https://assets.morningconsult.com/wp-uploads/2021/02/11080445/210227_crosstabs_POLITICO_RVs_v1_AUTO.pdf,74351,139673,2/8/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/5/2021,2/7/2021,Morning Consult,B,15000,a,.1481259,0,55,33,54.069948,36.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74372,139746,2/11/2021,16:23:18 23 Mar 2022
